customer_id,category,spend
ATQCUS0001,Apparel,18687
ATQCUS0001,Bills,9768
ATQCUS0001,Electronics,34065
ATQCUS0001,Entertainment,45144
ATQCUS0001,Food,21792
ATQCUS0001,Groceries,15495
ATQCUS0001,Health & Wellness,11000
ATQCUS0001,Others,5149
ATQCUS0001,Travel,9445
ATQCUS0002,Apparel,17173
ATQCUS0002,Bills,11013
ATQCUS0002,Electronics,33875
ATQCUS0002,Entertainment,39911
ATQCUS0002,Food,22896
ATQCUS0002,Groceries,17740
ATQCUS0002,Health & Wellness,10703
ATQCUS0002,Others,4604
ATQCUS0002,Travel,10599
ATQCUS0003,Apparel,17440
ATQCUS0003,Bills,9808
ATQCUS0003,Electronics,29626
ATQCUS0003,Entertainment,40910
ATQCUS0003,Food,21150
ATQCUS0003,Groceries,15817
ATQCUS0003,Health & Wellness,9768
ATQCUS0003,Others,4458
ATQCUS0003,Travel,8557
ATQCUS0004,Apparel,18080
ATQCUS0004,Bills,9912
ATQCUS0004,Electronics,34342
ATQCUS0004,Entertainment,42729
ATQCUS0004,Food,19790
ATQCUS0004,Groceries,15205
ATQCUS0004,Health & Wellness,8732
ATQCUS0004,Others,4832
ATQCUS0004,Travel,9033
ATQCUS0005,Apparel,19564
ATQCUS0005,Bills,9299
ATQCUS0005,Electronics,29025
ATQCUS0005,Entertainment,39975
ATQCUS0005,Food,20695
ATQCUS0005,Groceries,15880
ATQCUS0005,Health & Wellness,9995
ATQCUS0005,Others,3689
ATQCUS0005,Travel,9174
ATQCUS0006,Apparel,22855
ATQCUS0006,Bills,9922
ATQCUS0006,Electronics,37223
ATQCUS0006,Entertainment,47195
ATQCUS0006,Food,24778
ATQCUS0006,Groceries,16697
ATQCUS0006,Health & Wellness,11585
ATQCUS0006,Others,5325
ATQCUS0006,Travel,9552
ATQCUS0007,Apparel,17040
ATQCUS0007,Bills,10055
ATQCUS0007,Electronics,29972
ATQCUS0007,Entertainment,46903
ATQCUS0007,Food,18647
ATQCUS0007,Groceries,14850
ATQCUS0007,Health & Wellness,8818
ATQCUS0007,Others,3849
ATQCUS0007,Travel,8710
ATQCUS0008,Apparel,16808
ATQCUS0008,Bills,10458
ATQCUS0008,Electronics,31154
ATQCUS0008,Entertainment,39994
ATQCUS0008,Food,19795
ATQCUS0008,Groceries,15502
ATQCUS0008,Health & Wellness,9494
ATQCUS0008,Others,4437
ATQCUS0008,Travel,9331
ATQCUS0009,Apparel,19412
ATQCUS0009,Bills,12145
ATQCUS0009,Electronics,34399
ATQCUS0009,Entertainment,42823
ATQCUS0009,Food,24278
ATQCUS0009,Groceries,18244
ATQCUS0009,Health & Wellness,10442
ATQCUS0009,Others,5086
ATQCUS0009,Travel,10919
ATQCUS0010,Apparel,21852
ATQCUS0010,Bills,9378
ATQCUS0010,Electronics,36182
ATQCUS0010,Entertainment,44711
ATQCUS0010,Food,22320
ATQCUS0010,Groceries,17465
ATQCUS0010,Health & Wellness,12342
ATQCUS0010,Others,4989
ATQCUS0010,Travel,10507
ATQCUS0011,Apparel,16376
ATQCUS0011,Bills,9774
ATQCUS0011,Electronics,30681
ATQCUS0011,Entertainment,41813
ATQCUS0011,Food,20302
ATQCUS0011,Groceries,16004
ATQCUS0011,Health & Wellness,10024
ATQCUS0011,Others,5066
ATQCUS0011,Travel,8992
ATQCUS0012,Apparel,17116
ATQCUS0012,Bills,8676
ATQCUS0012,Electronics,31313
ATQCUS0012,Entertainment,38888
ATQCUS0012,Food,21772
ATQCUS0012,Groceries,16057
ATQCUS0012,Health & Wellness,8449
ATQCUS0012,Others,5812
ATQCUS0012,Travel,9606
ATQCUS0013,Apparel,17958
ATQCUS0013,Bills,9950
ATQCUS0013,Electronics,31437
ATQCUS0013,Entertainment,38214
ATQCUS0013,Food,19745
ATQCUS0013,Groceries,14488
ATQCUS0013,Health & Wellness,8518
ATQCUS0013,Others,4914
ATQCUS0013,Travel,9226
ATQCUS0014,Apparel,9555
ATQCUS0014,Bills,5133
ATQCUS0014,Electronics,15219
ATQCUS0014,Entertainment,21261
ATQCUS0014,Food,12393
ATQCUS0014,Groceries,8351
ATQCUS0014,Health & Wellness,5046
ATQCUS0014,Others,2016
ATQCUS0014,Travel,4564
ATQCUS0015,Apparel,11802
ATQCUS0015,Bills,5597
ATQCUS0015,Electronics,18609
ATQCUS0015,Entertainment,26701
ATQCUS0015,Food,11867
ATQCUS0015,Groceries,9056
ATQCUS0015,Health & Wellness,5230
ATQCUS0015,Others,2872
ATQCUS0015,Travel,4968
ATQCUS0016,Apparel,9262
ATQCUS0016,Bills,5446
ATQCUS0016,Electronics,18527
ATQCUS0016,Entertainment,23663
ATQCUS0016,Food,11399
ATQCUS0016,Groceries,8561
ATQCUS0016,Health & Wellness,5828
ATQCUS0016,Others,2765
ATQCUS0016,Travel,5001
ATQCUS0017,Apparel,9406
ATQCUS0017,Bills,6148
ATQCUS0017,Electronics,19420
ATQCUS0017,Entertainment,23261
ATQCUS0017,Food,11699
ATQCUS0017,Groceries,8310
ATQCUS0017,Health & Wellness,5648
ATQCUS0017,Others,2065
ATQCUS0017,Travel,5014
ATQCUS0018,Apparel,9236
ATQCUS0018,Bills,5555
ATQCUS0018,Electronics,16963
ATQCUS0018,Entertainment,23683
ATQCUS0018,Food,11882
ATQCUS0018,Groceries,8186
ATQCUS0018,Health & Wellness,5021
ATQCUS0018,Others,2866
ATQCUS0018,Travel,4766
ATQCUS0019,Apparel,8744
ATQCUS0019,Bills,6067
ATQCUS0019,Electronics,16009
