customer_id,age_group,city,occupation,gender,marital status,avg_income,month,spend,income_utilisation
ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,August,36445,49.56952246
ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,July,36297,49.36822491
ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,June,29097,39.57537097
ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,May,23864,32.45787033
ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,October,26579,36.15059233
ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,September,42122,57.29091577
ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,August,22260,55.75872952
ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,July,15305,38.33725765
ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,June,11104,27.81423776
ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,May,13401,33.56795752
ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,October,16745,41.94429137
ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,September,20297,50.8416412
ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702,August,12257,32.51021166
ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702,July,10345,27.43886266
ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702,June,11171,29.62972787
ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702,May,9567,25.37531165
ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702,October,14015,37.17309427
ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702,September,11747,31.15749828
ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090,August,25186,46.56313551
ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090,July,17555,32.45516731
ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090,June,16523,30.54723609
ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090,May,16897,31.23867628
ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090,October,18321,33.87132557
ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090,September,27827,51.44573858
